Region,State,District,Location,Plant name ,Owner,Sector,Status,Unit,Capacity (MW),Commissioning year,Boiler,Coal Source,Import country,Port,Type plant,Coal Type,Latitude,Longitude,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Southern,Andhra Pradesh,Nellore,Nellaturu,Sri Damodaram Sanjeevaiah Thermal Power Plant ,Andhra Pradesh Power Generation Corporation (APGENCO),State,Operating,2,800.0,2015.0,Super-Critical,Talcher Coal Field,Indonesia,Krishnapattanam,Coastal,Blended,14.328902,80.120924,0.0,0.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0
Southern,Andhra Pradesh,Nellore,Nellaturu,Sri Damodaram Sanjeevaiah Thermal Power Plant ,Andhra Pradesh Power Generation Corporation (APGENCO),State,Pre-Permit Development,3,800.0,2017.0,Super-Critical,Talcher Coal Field,Indonesia,Krishnapattanam,Coastal,Blended,14.328902,80.120924,0.0,0.0,0.0,0.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0
Southern,Andhra Pradesh,Nellore,Muthukur,Thermal Powertech TPP Stage-I,Thermal Powertech Private Limited (Gayatri Projects Limited; Sembcorp Industries Limited),Private,Operating,1,660.0,2015.0,Super-Critical,other,Indonesia,Krishnapattanam,Coastal,Imported,14.329391,80.140923,0.0,0.0,660.0,660.0,660.0,660.0,660.0,660.0,660.0,660.0,660.0,660.0,660.0
Southern,Andhra Pradesh,Nellore,Muthukur,Thermal Powertech TPP Stage-I,Thermal Powertech Private Limited (Gayatri Projects Limited; Sembcorp Industries Limited),Private,Construction,2,660.0,2016.0,Super-Critical,other,Indonesia,Krishnapattanam,Coastal,Imported,14.329391,80.140923,0.0,0.0,0.0,660.0,660.0,660.0,660.0,660.0,660.0,660.0,660.0,660.0,660.0
Southern,Andhra Pradesh,Nellore,Muthukur,Thermal Powertech TPP Stage-II,Thermal Powertech Private Limited (Gayatri Projects Limited; Sembcorp Industries Limited),Private,Planned,3,660.0,2025.0,Super-Critical,other,Indonesia,Krishnapattanam,Coastal,Imported,14.329391,80.140923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,660.0
Southern,Andhra Pradesh,Nellore ,Krishnapatnam,Krishnapatnam Mega Thermal Power Plant Ph-I,Navayuga Group,Private,Permitted,1,660.0,2020.0,Super-Critical,other,Indonesia,Krishnapattanam,Coastal,Imported,14.1944,80.0916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,660.0,660.0,660.0,660.0,660.0,660.0
Southern,Andhra Pradesh,Nellore ,Krishnapatnam,Krishnapatnam Mega Thermal Power Plant Ph-I,Navayuga Group,Private,Permitted,2,660.0,2020.0,Super-Critical,other,Indonesia,Krishnapattanam,Coastal,Imported,14.1944,80.0916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,660.0,660.0,660.0,660.0,660.0,660.0
Southern,Andhra Pradesh,Nellore ,Krishnapatnam,Krishnapatnam Mega Thermal Power Plant Ph-II,Navayuga Group,Private,Permitted,3,660.0,2025.0,Super-Critical,other,Indonesia,Krishnapattanam,Coastal,Imported,14.1944,80.0916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,660.0
Southern,Andhra Pradesh,Nellore ,Krishnapatnam,Krishnapatnam Ultra Mega Power Project ,Reliance ADA Group,Private,Planned,1,660.0,2021.0,Super-Critical,other,Indonesia,Krishnapattanam,Coastal,Imported,14.2520611,80.1207483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,660.0,660.0,660.0,660.0,660.0
Southern,Andhra Pradesh,Nellore ,Krishnapatnam,Krishnapatnam Ultra Mega Power Project ,Reliance ADA Group,Private,Planned,2,660.0,2022.0,Super-Critical,other,Indonesia,Krishnapattanam,Coastal,Imported,14.2520611,80.1207483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,660.0,660.0,660.0,660.0
